,id,date,store_nbr,item_nbr,unit_sales,onpromotion
125351751,125351751,2017-08-14,34,2059342,11.0,False
62276045,62276045,2015-11-16,38,119024,3.0,False
94961526,94961526,2016-10-25,51,671079,2.0,False
102074097,102074097,2017-01-05,29,372369,2.0,False
90723788,90723788,2016-09-11,48,938575,9.0,False
40355200,40355200,2015-02-01,3,841614,17.0,False
4517114,4517114,2013-04-20,8,802833,17.0,
87679205,87679205,2016-08-11,13,723184,2.0,False
35127215,35127215,2014-11-13,24,1364636,2.0,False
43817005,43817005,2015-03-29,45,675524,7.0,False
114695825,114695825,2017-05-05,46,1975562,1.0,False
84879394,84879394,2016-07-13,24,1455485,7.0,False
80115998,80115998,2016-05-24,25,2010989,1.0,False
96841322,96841322,2016-11-13,49,1105213,6.0,False
16524405,16524405,2014-01-04,51,1464072,9.0,
48766700,48766700,2015-06-12,1,506717,1.0,False
88084995,88084995,2016-08-15,25,1173853,6.0,False
17307363,17307363,2014-01-17,8,1143685,6.0,
53200578,53200578,2015-08-05,43,1696042,10.723,False
74348704,74348704,2016-03-25,27,165693,7.0,False
51595574,51595574,2015-07-17,13,454596,1.0,False
6988104,6988104,2013-06-15,17,362548,9.0,
37888831,37888831,2014-12-21,38,1111202,2.0,False
40489473,40489473,2015-02-03,9,1239819,9.0,False
44740888,44740888,2015-04-13,34,769314,2.0,False
5226471,5226471,2013-05-06,31,638240,6.0,
104146518,104146518,2017-01-25,27,802833,6.0,False
56809993,56809993,2015-09-17,23,208699,3.0,False
33999300,33999300,2014-10-28,23,1695835,14.87,False
106201877,106201877,2017-02-13,53,781798,1.0,False
104364761,104364761,2017-01-27,40,2006310,3.0,False
100665949,100665949,2016-12-21,31,1464207,43.0,False
29744985,29744985,2014-08-27,32,765519,7.0,False
78978181,78978181,2016-05-12,37,265279,4.0,False
31464766,31464766,2014-09-22,8,315474,10.0,False
119906190,119906190,2017-06-23,53,1036189,1.929,True
88151610,88151610,2016-08-16,6,2010885,2.0,True
35132993,35132993,2014-11-13,30,1157462,8.0,False
79229927,79229927,2016-05-15,11,638978,16.0,False
35674327,35674327,2014-11-21,11,933780,5.0,False
68578628,68578628,2016-01-24,26,1464041,2.0,False
117945786,117945786,2017-06-05,10,557285,2.0,True
12215665,12215665,2013-10-08,6,422452,1.0,
52820080,52820080,2015-08-01,17,1386506,1.0,False
42553772,42553772,2015-03-09,11,1366212,1.0,False
39162164,39162164,2015-01-11,32,205387,1.0,False
93056626,93056626,2016-10-06,12,968937,1.0,False
12179737,12179737,2013-10-07,16,1079214,1.0,
121608299,121608299,2017-07-09,46,819228,28.822,False
5436898,5436898,2013-05-11,25,522383,4.0,
49611146,49611146,2015-06-22,34,864508,4.0,False
87462997,87462997,2016-08-08,51,1239901,45.791,False
36138301,36138301,2014-11-27,48,1253708,2.0,False
65482305,65482305,2015-12-20,50,1473477,25.579,False
101011619,101011619,2016-12-24,41,1178697,1.0,False
96547785,96547785,2016-11-11,1,633996,2.552,True
74751895,74751895,2016-03-29,41,671699,0.482,False
115008582,115008582,2017-05-08,37,581078,14.0,False
39303275,39303275,2015-01-13,54,671067,1.0,False
7739023,7739023,2013-07-01,51,921042,17.0,
17287623,17287623,2014-01-16,48,770453,4.0,
45839921,45839921,2015-05-01,25,959437,144.0,False
21426628,21426628,2014-03-28,31,759893,16.0,
93010484,93010484,2016-10-05,44,813760,2.0,False
27227325,27227325,2014-07-15,45,1372585,1.0,False
268071,268071,2013-01-08,31,586911,1.0,
22510118,22510118,2014-04-18,2,582864,25.9243,False
103350162,103350162,2017-01-17,42,1963265,18.0,False
101626734,101626734,2016-12-31,25,781796,4.0,False
110857460,110857460,2017-03-30,31,1970428,4.0,False
2085189,2085189,2013-02-22,3,964752,34.0,
61957270,61957270,2015-11-13,16,1458844,1.0,False
60871070,60871070,2015-11-01,29,1920080,4.0,False
87857319,87857319,2016-08-13,6,999546,11.0,False
116961158,116961158,2017-05-27,9,2010290,2.0,False
111272906,111272906,2017-04-03,19,459762,1.0,False
70398158,70398158,2016-02-12,47,692537,16.0,False
36074876,36074876,2014-11-26,50,1018878,11.0,False
103055432,103055432,2017-01-14,51,1958187,10.0,False
49697459,49697459,2015-06-23,39,1072167,1.0,False
13908626,13908626,2013-11-13,14,1239869,1.015,
872473,872473,2013-01-23,32,1065599,1.249,
14441193,14441193,2013-11-24,9,1145374,8.0,
53030710,53030710,2015-08-03,40,692531,25.0,False
9398476,9398476,2013-08-07,46,1009512,1.0,
113585549,113585549,2017-04-25,28,268440,6.0,False
14331635,14331635,2013-11-22,2,687549,1.0,
2088463,2088463,2013-02-22,6,1076335,3.0,
93160464,93160464,2016-10-07,21,318935,2.0,True
100157607,100157607,2016-12-16,49,363889,1.0,False
14314333,14314333,2013-11-21,38,360703,5.0,
125227107,125227107,2017-08-13,23,1109391,1.0,False
86907588,86907588,2016-08-03,18,1112840,4.0,False
61308118,61308118,2015-11-06,8,1501541,4.0,False
72546374,72546374,2016-03-06,22,458029,1.0,False
6188807,6188807,2013-05-28,28,765517,6.0,
67287215,67287215,2016-01-10,34,261053,10.0,False
96117389,96117389,2016-11-06,34,1463852,2.0,False
69926167,69926167,2016-02-07,42,513855,2.0,False
124879697,124879697,2017-08-10,2,843609,3.0,True
68053198,68053198,2016-01-18,45,1239748,5.0,False
102341271,102341271,2017-01-08,2,1584575,103.0,False
118160479,118160479,2017-06-07,13,820003,1.221,False
122276013,122276013,2017-07-16,14,871421,9.0,True
8408177,8408177,2013-07-16,49,953428,13.0,
125001346,125001346,2017-08-11,14,638978,2.0,False
4407524,4407524,2013-04-17,31,938576,10.0,
77430026,77430026,2016-04-26,28,508069,3.0,False
11532506,11532506,2013-09-23,23,420720,2.0,
31923329,31923329,2014-09-28,47,793341,4.0,False
67525494,67525494,2016-01-13,8,1239912,7.0,False
115679440,115679440,2017-05-15,2,1464025,15.0,False
82177532,82177532,2016-06-15,11,1146787,1.0,False
40801773,40801773,2015-02-08,26,1353969,1.0,False
84407984,84407984,2016-07-08,34,789907,6.0,False
21056156,21056156,2014-03-22,40,587157,22.723,
62121009,62121009,2015-11-15,3,796396,30.0,False
59203529,59203529,2015-10-14,11,1489850,5.604,False
84546268,84546268,2016-07-09,53,723184,4.0,False
114563409,114563409,2017-05-04,31,263583,3.0,False
33420320,33420320,2014-10-20,3,740714,2.0,False
27152530,27152530,2014-07-14,39,938575,1.0,False
54565637,54565637,2015-08-22,18,1328471,6.0,False
117293828,117293828,2017-05-30,13,1463935,1.0,False
34008027,34008027,2014-10-28,31,1345071,1.0,False
92110764,92110764,2016-09-26,28,1047786,3.0,False
76346034,76346034,2016-04-15,17,830829,1.0,False
45778411,45778411,2015-04-30,27,165718,5.0,False
108840018,108840018,2017-03-11,12,258395,1.0,False
44018527,44018527,2015-04-02,2,828630,4.0,False
60047182,60047182,2015-10-23,29,583978,1.99,False
37182401,37182401,2014-12-12,9,802832,3.0,False
45730569,45730569,2015-04-29,38,1239791,5.0,False
61848233,61848233,2015-11-12,2,868529,2.0,False
664465,664465,2013-01-18,27,510055,2.0,
50690535,50690535,2015-07-05,50,1305845,54.0,False
118771958,118771958,2017-06-13,3,1071949,5.0,False
87921870,87921870,2016-08-13,44,1281253,1.0,False
99559948,99559948,2016-12-11,2,2026454,10.0,False
53825749,53825749,2015-08-13,20,1081359,1.0,False
46183165,46183165,2015-05-06,37,860548,4.0,False
49132885,49132885,2015-06-16,32,1457004,5.0,False
1571917,1571917,2013-02-09,28,820500,1.0,
124639734,124639734,2017-08-07,39,1047790,13.0,False
125356740,125356740,2017-08-14,38,205557,2.0,False
36834029,36834029,2014-12-07,18,1473393,17.895,False
58140612,58140612,2015-10-02,42,1576328,1.0,False
29930118,29930118,2014-08-30,54,988408,4.0,False
63731473,63731473,2015-12-02,25,804932,2.0,False
124150920,124150920,2017-08-03,4,1463914,1.0,False
675866,675866,2013-01-18,45,264753,11.0,
53955051,53955051,2015-08-14,54,162066,16.0,False
60883202,60883202,2015-11-01,37,1965358,2.0,False
116261478,116261478,2017-05-20,35,2081095,1.0,False
94781776,94781776,2016-10-24,2,1471903,1.0,False
64355343,64355343,2015-12-09,1,258411,3.0,False
57924419,57924419,2015-09-30,21,507870,7.0,False
28637250,28637250,2014-08-06,41,1047790,13.0,False
99467950,99467950,2016-12-10,9,759697,2.0,True
110515085,110515085,2017-03-27,8,1342003,11.0,False
83585351,83585351,2016-06-30,9,1946668,1.0,False
100044829,100044829,2016-12-15,44,1239859,61.81,False
25676890,25676890,2014-06-20,18,757889,1.0,False
15498839,15498839,2013-12-15,9,155607,2.0,
101889692,101889692,2017-01-03,44,218726,2.0,False
93214188,93214188,2016-10-07,50,1457201,2.0,False
67658337,67658337,2016-01-14,38,1920069,1.0,False
87190930,87190930,2016-08-06,13,1114903,1.0,True
31530071,31530071,2014-09-23,6,968936,2.0,False
30483824,30483824,2014-09-08,1,1239741,2.0,False
102117350,102117350,2017-01-05,50,1492315,2.0,False
93967137,93967137,2016-10-15,41,357996,3.0,False
81913343,81913343,2016-06-12,21,1966167,2.0,False
49882981,49882981,2015-06-26,6,402175,8.0,False
53971373,53971373,2015-08-15,8,1152350,6.0,False
33907248,33907248,2014-10-27,3,957098,3.0,False
8737734,8737734,2013-07-24,17,583978,12.718,
19564757,19564757,2014-02-27,7,119624,7.0,
32524301,32524301,2014-10-07,12,452078,1.0,False
122354553,122354553,2017-07-16,52,357996,2.0,False
48993063,48993063,2015-06-14,45,1457240,3.0,False
116290241,116290241,2017-05-20,48,165705,4.0,False
87570710,87570710,2016-08-10,5,838413,3.0,False
9390520,9390520,2013-08-07,38,358515,6.0,
115104464,115104464,2017-05-09,32,1143685,5.0,False
72344783,72344783,2016-03-04,21,1958189,6.0,True
93252409,93252409,2016-10-08,16,1464072,2.0,False
448511,448511,2013-01-13,5,410257,8.0,
12471203,12471203,2013-10-13,39,559044,2.0,
52758471,52758471,2015-07-31,34,1920072,1.0,False
50647819,50647819,2015-07-05,25,229368,3.0,False
112861948,112861948,2017-04-18,36,421066,6.0,False
67113832,67113832,2016-01-08,46,2031309,8.0,False
27605770,27605770,2014-07-21,23,410866,4.0,False
113374760,113374760,2017-04-23,29,165988,8.0,False
8095465,8095465,2013-07-09,46,358519,6.0,
20354470,20354470,2014-03-11,41,1047757,4.0,
63662957,63662957,2015-12-01,42,633996,1.945,False
8340920,8340920,2013-07-15,19,838407,1.0,
72120851,72120851,2016-03-02,3,1164290,18.0,False
99471004,99471004,2016-12-10,10,2028696,2.0,True
125182032,125182032,2017-08-12,53,165594,35.0,False
95633354,95633354,2016-11-01,47,2011225,2.0,False
124771351,124771351,2017-08-08,52,847894,9.0,False
79882237,79882237,2016-05-22,3,913968,56.0,False
58426277,58426277,2015-10-05,40,411487,3.0,False
841264,841264,2013-01-22,44,1089046,4.0,
123735662,123735662,2017-07-30,14,850334,4.0,False
106459670,106459670,2017-02-16,31,841841,4.0,False
64188116,64188116,2015-12-07,9,1397060,3.0,False
11044019,11044019,2013-09-12,44,317147,12.0,
6962294,6962294,2013-06-14,45,329362,21.0,
27562797,27562797,2014-07-20,45,575875,19.0,False
28109232,28109232,2014-07-28,47,1121514,6.0,False
19865825,19865825,2014-03-04,8,1463603,3.0,
108392304,108392304,2017-03-06,46,871421,6.0,False
109556873,109556873,2017-03-18,5,911990,9.0,False
101211285,101211285,2016-12-27,33,1463771,2.0,False
27434373,27434373,2014-07-18,50,1464210,2.0,False
2663092,2663092,2013-03-07,43,364865,1.0,
62707196,62707196,2015-11-21,24,1696003,10.577,False
80572958,80572958,2016-05-29,18,507457,1.0,True
10301619,10301619,2013-08-27,37,179600,2.0,
8069065,8069065,2013-07-09,9,454416,10.0,
42373829,42373829,2015-03-06,23,1102975,2.0,False
95340949,95340949,2016-10-29,51,1311104,1.0,False
11425741,11425741,2013-09-21,7,583968,3.076,
46419618,46419618,2015-05-10,14,1393047,4.0,False
117512725,117512725,2017-06-01,18,2018358,3.0,False
85534208,85534208,2016-07-20,11,1936629,94.0,False
49850680,49850680,2015-06-25,39,1489869,8.0,False
98679601,98679601,2016-12-02,38,1464201,2.0,False
64571789,64571789,2015-12-11,22,1349807,2.0,False
115100366,115100366,2017-05-09,29,1463857,15.0,False
47872964,47872964,2015-05-31,38,1114566,8.0,False
37605697,37605697,2014-12-17,48,1309856,1.0,False
41537936,41537936,2015-02-20,45,1418484,1.0,False
38182175,38182175,2014-12-26,28,749421,34.0,False
100412130,100412130,2016-12-19,9,354964,12.0,False
66318276,66318276,2015-12-30,31,1083152,13.0,True
4894807,4894807,2013-04-29,1,454589,1.0,
1262568,1262568,2013-02-02,8,220435,47.0,
65949397,65949397,2015-12-26,40,221506,8.0,False
114808527,114808527,2017-05-06,46,2011211,4.0,False
76237621,76237621,2016-04-14,6,315176,6.0,False
31518384,31518384,2014-09-22,51,1473396,18.974,False
107524604,107524604,2017-02-26,43,1464207,19.0,False
7473819,7473819,2013-06-26,6,1147731,1.0,
125086857,125086857,2017-08-12,4,123601,1.0,False
15876807,15876807,2013-12-22,25,1105213,3.0,
14623894,14623894,2013-11-27,51,982727,17.0,
102229960,102229960,2017-01-07,2,1457229,3.0,False
6124790,6124790,2013-05-27,2,264299,6.0,
110069584,110069584,2017-03-22,50,724360,6.0,False
78420061,78420061,2016-05-06,46,1391548,6.0,False
25236225,25236225,2014-06-11,41,651326,4.0,False
31173385,31173385,2014-09-18,1,317285,2.0,False
59919886,59919886,2015-10-22,3,279137,4.0,False
63610553,63610553,2015-12-01,10,220613,2.0,False
103581006,103581006,2017-01-20,4,1472453,1.0,False
102470996,102470996,2017-01-09,11,122419,16.0,False
34980461,34980461,2014-11-11,12,219150,23.0,False
55359315,55359315,2015-08-31,37,1457251,3.0,False
70822833,70822833,2016-02-17,15,510055,1.0,False
1517175,1517175,2013-02-08,10,627263,9.0,
63236435,63236435,2015-11-27,13,686034,2.0,False
67194461,67194461,2016-01-09,38,598492,1.0,False
10117782,10117782,2013-08-23,38,215896,2.0,
14764141,14764141,2013-11-30,45,954796,2.0,
82449658,82449658,2016-06-18,8,1178696,3.0,False
107138222,107138222,2017-02-23,5,964752,13.0,False
70145132,70145132,2016-02-10,7,1110679,10.0,False
31364238,31364238,2014-09-20,45,793346,4.0,False
85146382,85146382,2016-07-16,16,1958201,1.0,False
29732600,29732600,2014-08-27,15,577743,3.0,False
120658706,120658706,2017-07-01,7,1331407,6.0,False
79839541,79839541,2016-05-21,36,1489837,18.0,False
1856206,1856206,2013-02-16,27,1058820,4.0,
121045896,121045896,2017-07-04,31,1457039,5.0,True
13540765,13540765,2013-11-05,45,361502,6.0,
64415272,64415272,2015-12-09,38,315474,4.0,False
32967912,32967912,2014-10-13,35,414421,7.0,False
66596783,66596783,2016-01-03,20,265258,11.0,False
55876203,55876203,2015-09-06,27,651326,6.0,False
15599726,15599726,2013-12-17,5,428054,1.0,
72428607,72428607,2016-03-05,12,1458461,1.0,False
24279070,24279070,2014-05-24,1,846565,3.0,False
60259745,60259745,2015-10-25,42,1463825,24.0,False
77886981,77886981,2016-05-01,18,1909901,1.0,False
113822040,113822040,2017-04-27,45,2049081,3.0,False
85602309,85602309,2016-07-20,51,1044584,4.0,False
6756880,6756880,2013-06-10,3,803101,2.0,
50995721,50995721,2015-07-09,45,372924,14.0,False
91505471,91505471,2016-09-20,6,105737,5.0,False
26063230,26063230,2014-06-27,50,1248464,2.0,False
15381101,15381101,2013-12-12,49,671083,2.0,
4928954,4928954,2013-04-29,46,108701,23.0,
2075435,2075435,2013-02-21,46,511172,1.0,
51897777,51897777,2015-07-20,50,844019,2.771,False
85683020,85683020,2016-07-21,46,1463866,12.0,True
100469923,100469923,2016-12-19,41,1471911,1.0,False
123325337,123325337,2017-07-26,16,1463883,5.0,True
81708515,81708515,2016-06-10,12,838215,2.0,False
94566040,94566040,2016-10-21,50,1913813,1.0,False
53542689,53542689,2015-08-09,50,355091,9.0,False
28671238,28671238,2014-08-07,19,668752,1.0,False
37056791,37056791,2014-12-10,24,1332103,1.0,False
70546358,70546358,2016-02-14,20,1173853,2.0,False
119495970,119495970,2017-06-19,51,1917879,4.0,False
93972309,93972309,2016-10-15,43,1386695,2.0,False
97175035,97175035,2016-11-17,24,638308,2.0,False
106271806,106271806,2017-02-14,39,558730,3.0,False
118561442,118561442,2017-06-11,5,2058362,1.0,False
110346442,110346442,2017-03-25,36,2011910,1.0,False
67296113,67296113,2016-01-10,39,660312,33.0,True
100632282,100632282,2016-12-21,12,1178691,2.0,False
110168993,110168993,2017-03-23,50,1463594,1.0,False
120071998,120071998,2017-06-25,27,557305,8.0,False
80720483,80720483,2016-05-30,47,105737,12.0,False
44988558,44988558,2015-04-17,39,759890,4.0,False
37786276,37786276,2014-12-20,17,658609,3.0,False
111758774,111758774,2017-04-08,3,2026893,8.0,False
2458683,2458683,2013-03-02,50,258376,20.0,
88310299,88310299,2016-08-17,45,1109391,4.0,False
50855974,50855974,2015-07-08,1,1452378,3.0,False
59166709,59166709,2015-10-13,45,1354389,9.0,False
68251250,68251250,2016-01-20,53,819195,2.0,False
120781336,120781336,2017-07-02,9,1091338,3.574,False
32451777,32451777,2014-10-06,9,1463885,39.0,False
40069923,40069923,2015-01-27,6,789223,12.0,False
117294694,117294694,2017-05-30,14,886396,3.0,False
85101944,85101944,2016-07-15,47,1347811,2.0,False
47270837,47270837,2015-05-23,6,617763,1.0,False
75448497,75448497,2016-04-05,45,732006,2.0,False
54258931,54258931,2015-08-18,33,218728,3.0,False
94434166,94434166,2016-10-20,31,414454,3.0,True
95286218,95286218,2016-10-29,24,1948550,1.0,False
58799499,58799499,2015-10-09,47,874598,4.0,False
27555230,27555230,2014-07-20,39,621300,12.0,False
41214568,41214568,2015-02-15,23,583925,0.56,False
27643047,27643047,2014-07-21,51,1726002,1.224,False
23380188,23380188,2014-05-05,36,903284,3.953,False
61664269,61664269,2015-11-09,51,517909,4.501,False
19024990,19024990,2014-02-16,8,358272,9.0,
64184115,64184115,2015-12-07,7,1913596,1.0,False
36883434,36883434,2014-12-08,1,1146783,2.0,False
95383359,95383359,2016-10-30,21,1113872,2.0,False
79830811,79830811,2016-05-21,30,1975439,2.0,False
74171117,74171117,2016-03-23,31,1457182,1.0,False
48973101,48973101,2015-06-14,32,953562,1.0,False
40691885,40691885,2015-02-06,39,574898,8.0,False
68754737,68754737,2016-01-26,20,1228995,4.0,False
116778060,116778060,2017-05-25,27,1958171,6.0,False
105200142,105200142,2017-02-04,28,315460,15.0,False
101713120,101713120,2017-01-02,10,1105212,6.0,True
90249272,90249272,2016-09-06,50,1310076,5.0,False
94886991,94886991,2016-10-25,7,1052563,9.0,False
8309770,8309770,2013-07-14,40,214860,13.0,
89397316,89397316,2016-08-29,11,1021281,5.0,False
27898595,27898595,2014-07-25,47,378685,47.0,False
41618027,41618027,2015-02-22,4,511394,2.0,False
106028394,106028394,2017-02-12,20,464334,10.0,False
116818707,116818707,2017-05-25,49,1239914,8.0,False
12561320,12561320,2013-10-15,38,507457,8.0,
43683102,43683102,2015-03-27,41,319093,3.0,True
40189492,40189492,2015-01-29,12,1239843,2.0,False
49618076,49618076,2015-06-22,39,308766,7.0,False
98829199,98829199,2016-12-04,2,305229,65.0,False
11696556,11696556,2013-09-27,5,851982,1.0,
29641703,29641703,2014-08-25,33,1091369,7.0,False
59080092,59080092,2015-10-12,46,364834,6.0,False
21573158,21573158,2014-03-30,40,1146800,5.0,
83106707,83106707,2016-06-25,7,1246757,1.0,False
118288510,118288510,2017-06-08,29,1686641,11.0,False
92778243,92778243,2016-10-03,21,314393,9.0,False
21016073,21016073,2014-03-22,5,1689921,3.538,
64867483,64867483,2015-12-14,26,1397062,1.0,False
48501765,48501765,2015-06-08,29,802833,2.0,False
5173585,5173585,2013-05-05,18,368260,5.0,
56152479,56152479,2015-09-09,39,1463825,3.0,False
111300998,111300998,2017-04-03,36,208659,1.0,False
37982966,37982966,2014-12-22,48,1239844,6.0,False
124041724,124041724,2017-08-02,3,1463707,6.0,False
91280582,91280582,2016-09-17,46,1121515,2.0,False
61449269,61449269,2015-11-07,39,1422815,1.0,False
94382018,94382018,2016-10-19,51,1920145,5.0,False
4183205,4183205,2013-04-12,18,968432,13.0,
76221669,76221669,2016-04-13,50,1412575,2.231,False
124456608,124456608,2017-08-05,52,2056557,4.0,True
93385303,93385303,2016-10-09,35,1157561,1.0,False
123638882,123638882,2017-07-29,22,308085,1.0,False
76388406,76388406,2016-04-15,43,2010498,5.0,False
13557617,13557617,2013-11-06,6,812757,12.0,
47348352,47348352,2015-05-24,10,750856,1.0,False
4514854,4514854,2013-04-20,6,871421,5.0,
96255890,96255890,2016-11-07,51,584076,17.183,False
110079546,110079546,2017-03-23,2,583795,2.99,False
77247981,77247981,2016-04-24,31,162066,4.0,False
103047468,103047468,2017-01-14,48,1932493,10.0,False
75584298,75584298,2016-04-07,12,1239876,5.054,False
6780283,6780283,2013-06-10,34,214859,11.0,
40768693,40768693,2015-02-07,50,805311,5.0,False
27593603,27593603,2014-07-21,9,1167545,2.0,False
88813366,88813366,2016-08-23,1,1707160,2.738,False
44436316,44436316,2015-04-08,39,507479,3.0,False
73989266,73989266,2016-03-21,33,122425,1.0,False
13466844,13466844,2013-11-04,11,1089820,2.0,
35606579,35606579,2014-11-20,11,1328495,11.0,False
6436682,6436682,2013-06-03,1,426155,7.0,
108302919,108302919,2017-03-05,51,1576330,1.0,False
110741909,110741909,2017-03-29,23,1363877,1.0,False
1808465,1808465,2013-02-15,18,967021,1.0,
36503258,36503258,2014-12-02,46,1463887,25.0,False
77854348,77854348,2016-05-01,2,874990,6.0,False
55590244,55590244,2015-09-03,12,1113872,4.0,False
74417339,74417339,2016-03-26,10,648313,6.0,False
51700393,51700393,2015-07-18,31,1001305,4.0,False
